GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,BLK,BLKA,PF,PFD
0022200005,1610612737,ATL,Atlanta,1628988,Aaron Holiday,Aaron,,,18:02,5,0,3,2,8,8,6,26,0,0,1,1
0022200005,1610612737,ATL,Atlanta,1630168,Onyeka Okongwu,Onyeka,,,21:07,6,0,2,12,4,8,4,28,0,0,4,3
0022200005,1610612737,ATL,Atlanta,203200,Justin Holiday,Justin,,,18:33,0,0,0,0,4,8,4,24,1,0,2,1
0022200005,1610612737,ATL,Atlanta,1629633,Jarrett Culver,Jarrett,,DNP - Coach's Decision,,,,,,,,,,,,,
0022200005,1610612737,ATL,Atlanta,1630235,Trent Forrest,Trent,,DNP - Coach's Decision,,,,,,,,,,,,,
0022200005,1610612737,ATL,Atlanta,1631100,AJ Griffin,AJ,,DNP - Coach's Decision,,,,,,,,,,,,,
0022200005,1610612737,ATL,Atlanta,1626163,Frank Kaminsky,Frank,,DNP - Coach's Decision,,,,,,,,,,,,,
0022200005,1610612737,ATL,Atlanta,1630249,Vit Krejci,Vit,,DNP - Coach's Decision,,,,,,,,,,,,,
0022200005,1610612737,ATL,Atlanta,1631213,Tyrese Martin,Tyrese,,DNP - Coach's Decision,,,,,,,,,,,,,
GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,BLK,BLKA,PF,PFD
0022200001,1610612755,PHI,Philadelphia,202699,Tobias Harris,Tobias,F,,34:14,7,2,2,8,18,0,19,28,0,0,3,2
0022200001,1610612755,PHI,Philadelphia,200782,P.J. Tucker,P.J.,F,,33:01,0,0,0,4,18,0,19,30,1,0,2,1
0022200001,1610612755,PHI,Philadelphia,203954,Joel Embiid,Joel,C,,37:16,0,4,0,10,18,2,19,36,1,1,4,11
0022200001,1610612755,PHI,Philadelphia,1630178,Tyrese Maxey,Tyrese,G,,38:12,0,2,0,6,15,2,19,40,0,2,5,5
0022200001,1610612755,PHI,Philadelphia,201935,James Harden,James,G,,37:16,7,0,0,6,17,2,22,28,0,0,3,4
0022200001,1610612755,PHI,Philadelphia,1626149,Montrezl Harrell,Montrezl,,,10:44,0,0,0,2,4,2,5,8,1,0,3,0
0022200001,1610612755,PHI,Philadelphia,1629001,De'Anthony Melton,De'Anthony,,,20:33,0,0,0,2,12,4,7,20,0,0,2,0
0022200001,1610612755,PHI,Philadelphia,1627863,Danuel House Jr.,Danuel,,,16:12,1,0,0,0,4,4,5,16,0,0,2,1
0022200001,1610612755,PHI,Philadelphia,1627777,Georges Niang,Georges,,,12:08,0,0,0,0,4,4,5,14,0,0,1,0
0022200001,1610612755,PHI,Philadelphia,1629680,Matisse Thybulle,Matisse,,,0:24,0,0,0,0,0,0,0,0,0,0,0,0
0022200001,1610612755,PHI,Philadelphia,1627788,Furkan Korkmaz,Furkan,,DNP - Coach's Decision,,,,,,,,,,,,,
0022200001,1610612755,PHI,Philadelphia,1629003,Shake Milton,Shake,,DNP - Coach's Decision,,,,,,,,,,,,,
0022200001,1610612755,PHI,Philadelphia,1630194,Paul Reed,Paul,,DNP - Coach's Decision,,,,,,,,,,,,,
